HOOP IQ — Master Project Timeline,,,,,,
"CECS490A/B  •  Team 2  •  California State University, Long Beach  •  Fall 2025 – Spring 2026",,,,,,
,,,,,,
#,Week,Dates,Phase / Milestone,Tasks & Accomplishments,Status,Notes / Deviations
  STATUS KEY:   ? On Schedule   ?? Minor Delay / Adjusted   ? Delayed   ?? In Progress / Upcoming   ?? Milestone / Demo,,,,,,
"SEMESTER 1 — CECS490A  |  Fall 2025  (Aug 25 – Dec 12, 2025)",,,,,,
1,Week 1,Aug 25 – Aug 29,Kickoff & Planning,"Project selection finalized. Team roles assigned (PM: Margulies, Hardware: Mejia/Orozco, CV: Kelly, Web: Hong). Initial project scope defined. Began system architecture research.",? On Schedule,—
2,Week 2,Sep 1 – Sep 5,Research & Architecture,"Researched IR break-beam sensors, piezo vibration detection, Raspberry Pi 5 capabilities, and OpenCV for basketball tracking. Began drafting system block diagram.",? On Schedule,—
3,Week 3,Sep 8 – Sep 12,Research & Architecture,Completed system architecture definition. Subsystem responsibilities finalized. Selected ESP32 as sensor controller. Confirmed Rust for Raspberry Pi software stack.,? On Schedule,—
4,Week 4,Sep 15 – Sep 19,Research & Architecture,Completed block diagram and subsystem interface definitions. Drafted component list and initial BOM. Finalized data flow: ESP32 ? Pi ? Tailscale ? Flask ? hoopiq.shop.,? On Schedule,—
5,Week 5,Sep 22 – Sep 26,Design & Procurement,"Subsystem designs finalized. Hardware orders submitted through university procurement (ESP32, IR sensors, piezo discs, ADC, resistors, wiring). Pi environment setup began.",? On Schedule,—
6,Week 6,Sep 29 – Oct 3,Design & Procurement,Component orders placed. Raspberry Pi 5 received and initial OS setup completed. Rust toolchain and Cargo build environment configured. Placeholder camera testing started.,? On Schedule,—
7,Week 7,Oct 6 – Oct 10,Hardware Procurement — DELAYED,"University procurement orders delayed. Critical sensors (IR, piezo, ESP32) not yet received. Team members began purchasing components out-of-pocket to prevent timeline slip.",? Delayed,University procurement significantly slower than anticipated. Out-of-pocket purchases made by team.
8,Week 8,Oct 13 – Oct 17,Software Prep (hardware delayed),"Shifted focus to software while awaiting parts. Designed serial packet format (EVENT_TYPE,TIMESTAMP,IR_FLAG,PIEZO_FLAG). Researched MOG2 background subtraction. Drafted ESP32 firmware state machine architecture.",?? Adjusted,Pivot to software-first development to use downtime productively.
9,Week 9,Oct 20 – Oct 24,Software Prep (hardware delayed),OpenCV integration tested on Pi using placeholder video. Rust Arc/Mutex shared state model designed. ESP32 firmware ISR and threshold logic written and reviewed off-device.,?? Adjusted,—
10,Week 10,Oct 27 – Oct 31,Software Prep / Hardware Arriving,Remaining out-of-pocket hardware components arrived. Began breadboard prototyping of ESP32 + IR sensor pair. Verified 3.3V IR emitter operation. Initial piezo readings captured.,?? Adjusted,Recovery from procurement delay begins.
11,Week 11,Nov 3 – Nov 7,Hardware Prototyping,"ESP32 firmware compiled and flashed. IR beam break detection confirmed. Piezo threshold calibration begun. GPIO pin mapping finalized (GPIO 27: IR, GPIO 32/35: piezo backboard, GPIO 34: piezo rim).",? On Schedule,—
12,Week 12,Nov 10 – Nov 14,Hardware Prototyping,"Shot event state machine implemented: MAKE, SWISH, RIM_CONTACT, MISS classification. Dynamic baseline filtering added to piezo firmware. Serial packet transmission to Pi tested with synthetic events.",? On Schedule,—
13,Week 13,Nov 17 – Nov 21,Integration Planning & Prototype,Mini-hoop prototype assembled. IR beam physically mounted across rim plane. Piezos mounted to backboard and rim. Wired serial confirmed from ESP32 to Pi. Rust serial parser implemented on Pi side.,? On Schedule,—
14,Week 14,Nov 24 – Nov 28,Prototype Refinement,Thanksgiving week. Threshold tuning continued. Camera mounted and initial ball detection tested using MOG2. Dual-stream FFmpeg/v4l2loopback architecture prototyped. Tailscale account configured.,? On Schedule,Thanksgiving — reduced availability but continued progress.
15,Week 15,Dec 1 – Dec 5,Proof-of-Concept Demo Prep,Full end-to-end proof-of-concept assembled. ESP32 detecting shots and transmitting to Pi. Pi parsing serial events. Flask backend skeleton deployed on Render. Dashboard prototype running at hoopiq.shop.,? On Schedule,—
16,Week 16,Dec 8 – Dec 12,?? Semester 1 Final Demo / Wrap-Up,"Proof-of-concept demonstration completed. All subsystems functional at baseline level: sensor detection, serial comm, Pi processing, cloud backend, and dashboard. Semester 1 concluded. Report submitted.",? On Schedule,Proof-of-concept successfully demonstrated. Strong foundation heading into 490B.
"SEMESTER 2 — CECS490B  |  Spring 2026  (Jan 21 – May 9, 2026)",,,,,,
17,Week 1,Jan 21 – Jan 25,Semester 2 Kickoff,Semester 2 kickoff. Hardware team began refining hoop sensor mounting configuration. Reviewed Semester 1 lessons learned. Updated project plan and set Demo 1 target for Week 4.,? On Schedule,—
18,Week 2,Jan 26 – Jan 31,Hardware Refinement,"IR beam alignment adjusted for more reliable shot detection. Piezo sensor mounting positions iterated — tested left, center, and right backboard placement for optimal vibration response. Wiring stabilized with cable management.",? On Schedule,—
19,Week 3,Feb 2 – Feb 6,Hardware Refinement & Demo 1 Prep,"Finalized sensor mounting configuration on backboard. Full hardware assembly stabilized with mechanical fasteners. Sensor alignment re-verified post-mounting. Demo 1 test runs performed: 100% make detection, 100% rim contact.",? On Schedule,—
20,Week 4,Feb 9 – Feb 13,?? Demo 1 — Hoop Sensor Subsystem,Demo 1 completed. ESP32-based shot detection demonstrated. IR + piezo dual-sensor event classification confirmed operational. Make detection: 3/3 (100%). Rim contact: 2/2 (100%). Serial comm to Pi stable.,? On Schedule,Demo 1: PASS. All targets met or exceeded.
21,Week 5,Feb 16 – Feb 20,CV Pipeline & Integration,Computer vision pipeline development accelerated. MOG2 background subtraction refined. Ball contour filtering tuned (area + aspect ratio constraints). Rolling position buffer implemented for trajectory smoothing.,? On Schedule,—
22,Week 6,Feb 23 – Feb 27,CV Pipeline & Zone Classification,"Shot zone classification implemented: Left Corner 3, Right Corner 3, Above Break 3, Paint, Mid-Range. Arc height calculation (peak Y relative to release point) and entry angle estimation implemented. AHEAD of planned milestone.",? On Schedule,Shot zone classification and arc/angle features completed ahead of schedule.
23,Week 7,Mar 2 – Mar 6,CV + Backend + Stretch Goals,Heatmap visualization implemented in dashboard. Airball classification logic added on Pi side (5-second timeout from detected shot attempt). CSV session export added to dashboard. All three stretch goals completed.,? On Schedule,"Stretch goals (zone, heatmap, export) all completed by Week 7 — well ahead of plan."
24,Week 8,Mar 9 – Mar 13,Full Pipeline Integration,End-to-end data pipeline validated: ESP32 event ? serial ? Pi Rust binary ? Tailscale tunnel ? Render Flask API ? hoopiq.shop dashboard. Latency confirmed under 1 second. Dual-stream RTSP confirmed stable.,? On Schedule,—
25,Week 9,Mar 16 – Mar 20,CV Demo Prep,Demo 2 preparation. Ball detection validated under varied lighting. Trajectory overlay confirmed rendering on dashboard. WebRTC/WHEP stream confirmed accessible from external browser. System stability tested over extended session.,? On Schedule,—
